_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,gpt-5-2025-08-07_40f1_psg_batch,0,9317,122.03,ae41_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.095045,10817,ae41f990,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7728,104.67,5e45_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.077571,9228,5e457efb,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,14048,188.04,f41d_py_sketch_generator,{'extra_body:{}'},0,7102,success,0.1477735,21150,f41d8291,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9788,125.89,2c2a_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.098171,11288,2c2a2293,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7493,102.55,7fd4_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.075221,8993,7fd470c2,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,8522,130.61,aed6_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.085511,10022,aed67aaf,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,10043,174.87,34f1_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.100721,11543,34f1cb61,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9606,140.6,06de_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.097935,11106,06decec2,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,6797,85.93,5e54_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.068261,8297,5e54134f,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7400,103.52,3ddf_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.074291,8900,3ddffe40,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7786,121.27,c928_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.078151,9286,c9281b37,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,10672,153.18,130f_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.107011,12172,130f3a1e,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,6317,101.89,9fd7_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.063461,7817,9fd74b85,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,6369,107.01,02ee_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.063981,7869,02ee4d22,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,10257,194.53,769b_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.102861,11757,769b6961,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9336,124.94,d379_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.093651,10836,d37904d4,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,36572,511.64,dba3_py_sketch_generator,{'extra_body:{}'},0,28850,failure,0.3983265,65422,dba3b065,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7367,101.28,6dc3_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.075545,8867,6dc35e5e,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7633,79.92,9c1a_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.076621,9133,9c1a80e4,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,10201,113.91,32ab_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.102301,11701,32ab2919,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,6246,147.63,833b_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.064335,7746,833bd5cb,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9052,195.76,61b6_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.092395,10552,61b64920,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9213,181.5,cb55_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.092421,10713,cb55e848,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,5929,111.83,c977_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.059581,7429,c977579e,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,8690,173.86,1d7d_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.087191,10190,1d7ddd9c,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,9017,190.82,58c9_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.090461,10517,58c95614,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,11046,168.26,2cea_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.112335,12546,2cea11ed,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,6870,141.93,c74d_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.068991,8370,c74d1c76,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,8321,181.46,92f5_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.085085,9821,92f54528,psg,gpt-5
none,gpt-5-2025-08-07_40f1_psg_batch,0,7450,144.58,9816_py_sketch_generator,{'extra_body:{}'},0,1500,success,0.074791,8950,9816caaf,psg,gpt-5
